省份,剧种,BV号,视频进度(秒),弹幕内容
四川,川剧,BV11f421v74w,5053.078,别人欠命，小黄倒给一条命
四川,川剧,BV11f421v74w,4111.657,肯定是纠缠了很久才答应的，只是戏剧的时间就这么长，所以才会觉得志贞答应得很快
四川,川剧,BV11f421v74w,2576.153,人只能听得进去，自己想听的。
四川,川剧,BV11f421v74w,2742.428,这剧挺好，就是比较费警幻仙姑哈哈哈哈哈哈
四川,川剧,BV11f421v74w,5780.683,人在无语的时候真的会笑出声
四川,川剧,BV11f421v74w,3294.825,哈哈哈奸夫让申兄演好合理
四川,川剧,BV11f421v74w,4014.893,天呐，虽然知道升桂申是渣男，但他这样我根本遭不住！！！
四川,川剧,BV11f421v74w,2981.927,哈哈哈哈哈哈，莫名其妙就笑了一下
四川,川剧,BV11f421v74w,842.329,好有意思，居然能让观众选哈哈哈哈
四川,川剧,BV11f421v74w,4273.618,姚安这男的好搞笑
四川,川剧,BV11f421v74w,5079.347,姚安说话真是一针见血
四川,川剧,BV11f421v74w,3663.396,哈哈哈哈哈蚌埠住了
四川,川剧,BV11f421v74w,4346.844,申桂升你真是饿了
四川,川剧,BV11f421v74w,5986.099,就算是现代，女儿也多是不由己，可悲
四川,川剧,BV11f421v74w,4177.998,他能跟三十多个尼姑来这套，金刚不坏之脸皮啊（）
四川,川剧,BV11f421v74w,2817.701,这宝光只有宝器才能看得见
四川,川剧,BV11f421v74w,2257.893,但桂英毕竟有恩于你，就算不以身相许，也应该以礼相待，报恩的方式不是只有这一种
四川,川剧,BV11f421v74w,888.259,面子好高
四川,川剧,BV11f421v74w,2071.081,小黄近距离吃瓜的样子好好玩
四川,川剧,BV11f421v74w,5103.403,心是榴莲心每一个都是心尖尖上的人
四川,川剧,BV11f421v74w,2431.22,姚安的长相确实最好
四川,川剧,BV11f421v74w,3268.761,哈哈哈，申桂生又客串了
四川,川剧,BV11f421v74w,5158.711,纣王戏女娲典故没认真看导致的
四川,川剧,BV11f421v74w,3160.062,所以这里是不是想说姚安的嫉妒心太强了，看见绿娥在拜别人生气了？（应该吧
四川,川剧,BV11f421v74w,2821.137,张氏，快下载中心反诈APP
四川,川剧,BV11f421v74w,3479.733,你也太博爱了
四川,川剧,BV11f421v74w,4267.865,两小只有点可爱，懵懵的吐槽
四川,川剧,BV11f421v74w,4535.299,比前两位还炸裂
四川,川剧,BV11f421v74w,5720.472,开始互相指责哈哈哈哈
四川,川剧,BV11f421v74w,1402.203,警幻很忙
四川,川剧,BV11f421v74w,2985.233,这音效哈哈哈哈
四川,川剧,BV11f421v74w,2922.024,这一段有点儿像是她在水里挣扎，姚安一直把她往底下按
四川,川剧,BV11f421v74w,3427.075,那你不应该喊他姚世兄，他应该喊你“老辈子”。
四川,川剧,BV11f421v74w,2832.762,乌鸡国国王:谈一下落井心得吧，姚夫人。
四川,川剧,BV11f421v74w,4354.595,《好胃口》
四川,川剧,BV11f421v74w,2235.424,这家伙还真受过冻，这话说来人听着真不好受
四川,川剧,BV11f421v74w,4134.104,申桂生本来和王志贞认识，只是后来不愿意再生瓜葛，女方去当尼姑了
四川,川剧,BV11f421v74w,2976.002,这人能把小黄小绿吓傻。小黄在越剧里也不是负面形象
四川,川剧,BV11f421v74w,2306.658,这三个人里精神状态相对正常的还是小黄小绿，姚安是坚定的恶（）
四川,川剧,BV11f421v74w,1848.576,《薄薄的恩情》
四川,川剧,BV11f421v74w,4051.525,这谁受得了啊
四川,川剧,BV11f421v74w,4252.073,已经熄灯，都不是耍流氓了
四川,川剧,BV11f421v74w,5024.825,《哥子》
四川,川剧,BV11f421v74w,4538.739,《单枪匹马》
四川,川剧,BV11f421v74w,2244.374,但还是再怎么样也不能干这等的事啊！
四川,川剧,BV11f421v74w,5134.737,啊啊啊啊啊啊我真服了
四川,川剧,BV11f421v74w,1388.18,总归得创新吸引人来看，这排得还能激发起对这几个渣男的兴趣看看那几出老的剧目，不挺好的吗
四川,川剧,BV11f421v74w,3523.203,警幻仙姑好忙啊，一人分饰多角
四川,川剧,BV11f421v74w,3331.398,姚安多疑
四川,川剧,BV11f421v74w,2079.696,委屈从来就求不到全
四川,川剧,BV11f421v74w,4577.055,未曾想过的渣的方式
四川,川剧,BV11f421v74w,1095.067,哎呀这椅子比屋头的好哇
四川,川剧,BV11f421v74w,3632.54,仙姐姐～
四川,川剧,BV11f421v74w,2298.39,姚安着实暴躁
四川,川剧,BV11f421v74w,4936.227,演得真好
四川,川剧,BV11f421v74w,4067.665,烈女怕缠郎
四川,川剧,BV11f421v74w,4795.283,哈哈哈哈下回喝奶茶吧照不出来哈哈哈哈
四川,川剧,BV11f421v74w,4154.651,若就对志贞这样还是很可爱的，对36个都这样就毁三观了
四川,川剧,BV11f421v74w,2995.174,姚安是二人观井，申桂生是一人进庙
四川,川剧,BV11f421v74w,4302.031,尼古装，买家秀和卖家秀。
四川,川剧,BV11f421v74w,1382.343,老票友可能看不下去，对于年轻人，萌新来说，很好的入门科普了。
四川,川剧,BV11f421v74w,2026.565,这都给了好几次机会了
四川,川剧,BV11f421v74w,2272.239,完了，自尊心受不了了
四川,川剧,BV11f421v74w,852.819,像游戏界面
四川,川剧,BV11f421v74w,3705.874,他们三个里面就姚安扇子最花哨哈哈哈哈哈（也是最好看
四川,川剧,BV11f421v74w,2311.048,姚安笑晕我
四川,川剧,BV11f421v74w,3003.733,水灵灵的走了笑死了
四川,川剧,BV11f421v74w,571.266,想得好美喔哈哈哈
四川,川剧,BV11f421v74w,5714.23,王魁这段的神态好自然，好棒
四川,川剧,BV11f421v74w,3083.71,这里大概是说她的手怎么发冷啊？
四川,川剧,BV11f421v74w,3169.872,这里情绪转化的太好了
四川,川剧,BV11f421v74w,3498.715,唱词符合黄衣的人设
四川,川剧,BV11f421v74w,4391.304,36个哦
四川,川剧,BV11f421v74w,2957.457,起鸡皮疙瘩了
四川,川剧,BV11f421v74w,2987.914,哈哈哈哈哈两个渣男无奈表情
四川,川剧,BV11f421v74w,3278.06,故事里写的是那个绿娥怕冷，拿个貂皮帽子把脸盖上了，就是蒙头大睡
四川,川剧,BV11f421v74w,3554.016,满脸都是对美女姐姐的心疼哈哈哈
四川,川剧,BV11f421v74w,3153.36,哈哈哈哈哈哈左下角小黄吓一跳哈哈哈哈
四川,川剧,BV11f421v74w,4261.927,姚安这个动作好搞笑
四川,川剧,BV11f421v74w,3545.511,哈哈哈哈好符合他的人设
四川,川剧,BV11f421v74w,5112.481,段正淳：知己啊
四川,川剧,BV11f421v74w,5675.219,犹豫，有时候就是一种答案。
四川,川剧,BV11f421v74w,5061.824,他的心尖尖上住满了人，跟个榴莲似的。
四川,川剧,BV11f421v74w,4757.775,医学上来讲，可能是“回光返照”，肾上腺素这些最后一次开始工作了。。
四川,川剧,BV11f421v74w,3679.938,申这个穿搭是体现他的风流，该说不说还蛮潮的。
四川,川剧,BV11f421v74w,2855.638,利诱不成改威逼了
四川,川剧,BV11f421v74w,2952.557,这个情绪转变好厉害，把疯批演绎得活灵活现了
四川,川剧,BV11f421v74w,4355.751,翻译一下就是你真是饿了
四川,川剧,BV11f421v74w,1406.258,警幻确实很忙
四川,川剧,BV11f421v74w,5950.469,懂了 仙姑是妇女主任 好哇
四川,川剧,BV11f421v74w,3994.485,啊？！
四川,川剧,BV11f421v74w,4073.584,这娇撒得，谁顶得住
四川,川剧,BV11f421v74w,4825.416,不中了他要鼠了瘦脱相一看倒影吓到了说是容貌焦虑也太好笑
四川,川剧,BV11f421v74w,2151.565,三个人三种舞台气质，憨，风流，邪气
四川,川剧,BV11f421v74w,4455.039,冲姚安杀妻来的，结果反复刷申贵升这段，又渣又可爱又好笑哈哈
四川,川剧,BV11f421v74w,4024.555,怎么说，这谈恋爱情绪价值给满了吧
四川,川剧,BV11f421v74w,2984.086,谁懂这句“哦豁”的笑点，哈哈哈哈
四川,川剧,BV11f421v74w,3695.922,是空耳，我们有救了！
四川,川剧,BV11f421v74w,3549.717,申桂升中央空调哇，想给所有漂亮姐姐一个家。
四川,川剧,BV11f421v74w,3562.479,这位老师扮相好漂亮……
四川,川剧,BV11f421v74w,4348.585,造孽呀，哈哈哈哈哈
四川,川剧,BV11f421v74w,5298.389,其实这个渣男团可以加一个石怀玉
四川,川剧,BV11f421v74w,3126.27,哈哈哈哈哈哈哈哈哈哈突然变傻
四川,川剧,BV11f421v74w,4355.346,饿了真的饿什么都吃得下
四川,川剧,BV11f421v74w,5040.282,《折夭》
四川,川剧,BV11f421v74w,4916.468,观音：脏了我的莲台
四川,川剧,BV11f421v74w,1857.868,女:枉死城？我从那里过来的
四川,川剧,BV11f421v74w,4548.305,单枪匹马，哈哈哈哈哈
四川,川剧,BV11f421v74w,4532.065,？夺少
四川,川剧,BV11f421v74w,2288.304,苦也是吃了，坏事也是做了
四川,川剧,BV11f421v74w,4793.512,笑死我了
四川,川剧,BV11f421v74w,4296.006,我的姚安啊 真会说话
四川,川剧,BV11f421v74w,860.735,好喜欢这个改编
四川,川剧,BV11f421v74w,4962.483,见血封喉茶
四川,川剧,BV11f421v74w,3999.724,姐姐:这是做啥子？咋介样子
四川,川剧,BV11f421v74w,3035.06,原来川剧能这么演的哈哈
四川,川剧,BV11f421v74w,2358.08,感觉王魁在憋笑。
四川,川剧,BV11f421v74w,2261.597,桂英不苦吗？那桂英给他的也是自己最好的了，他更应该感谢她才是
四川,川剧,BV11f421v74w,1445.605,这不是拉踩，这是科普历史渊源，傅全香老师早年向川剧学习了焚香记改编成越剧的情探，这是傅派的代表作，每一个唱傅派的甚至唱越剧的都会唱这出戏
四川,川剧,BV11f421v74w,500.03,姚安火出圈了吧
四川,川剧,BV11f421v74w,5130.642,哈哈哈梦幻联动我嵩哥，双厨狂喜
四川,川剧,BV11f421v74w,2273.916,人家张仪还能让恩人当王妃呢
四川,川剧,BV11f421v74w,4073.431,撒娇耍泼耍无赖全用上了哈哈哈哈哈哈
