省份,剧种,BV号,标题,简介,播放量,点赞数,投币数,收藏数,弹幕总数,抓取时间
四川,川剧,BV11f421v74w,青春实验川剧《离恨天·审》初版，《审渣男》这次不是片花了！！,自《离恨天·审》问世已经一年啦，这个戏承载了我们太多的成长与收获，我们参加了“2023中国小剧场戏曲展演”、“第十届当代小剧场戏曲艺术节”，小可也因此戏忝获“第三十二届上海白玉兰戏剧表演艺术奖‘新人配角提名奖’”，回顾此戏立项、首演、申报展演等等环节都遇到过挫折，但如今看来淌过沼泽后总是阳光绿洲。因为院团事务繁重等因素，也许这个戏再呈现在舞台上的机会不多了，所以将我们第一版的录像发布出来，供大家茶余谈笑。  主创： 总导演：蔡少波 编剧、导演、主演：王裕仁 副导演、主演：邓方圆 主演：李玲琳 主演：王耀超 作曲：董斌杰 形象、服装设计：陈兰馨 灯光设计：仰大章 司鼓：周元新 领腔：张蓉  剧情简介： 	某年某时，离恨天内孽债司中的警幻仙姑要审视、发判三个魂魄。分别为“王魁”、“申桂升”、“姚安”。三人生前皆负心薄幸，荼毒世间女儿。警幻审其罪行，王魁自觉奈世情所迫、昧心无奈。申桂升自觉博爱众女，不曾负心。姚安视女子为玩物。警幻揭露他三人生前情事（即“焚香记·入赘、情探；玉蜻蜓·上游庵、佛堂托孤；双魂报·杀妻洞房”三出传统戏片段），三男亦是互看前因后，似有转念，却在岔路选择处仍然选择了执迷不悟、怙恶不改。 	警幻叹道，这天下多少葆童心、禀真情的女儿深情与性命断送在这等人面兽心之徒。何日天女儿才能挣脱桎梏、冲破藩篱？何日天下女儿才能真心换得真心？警幻遂将三人同罪并罚，魂飞魄散。 	古有负心薄幸，今之渣男海王。岂不为“戏上有而世上有”？情之何起？情之何由？情之何辜？正待同君共为一审。,59060,2508,1802,3107,1920,2026-04-04 18:55:52
四川,川剧,BV11f421v74w,青春实验川剧《离恨天·审》初版，《审渣男》这次不是片花了！！,自《离恨天·审》问世已经一年啦，这个戏承载了我们太多的成长与收获，我们参加了“2023中国小剧场戏曲展演”、“第十届当代小剧场戏曲艺术节”，小可也因此戏忝获“第三十二届上海白玉兰戏剧表演艺术奖‘新人配角提名奖’”，回顾此戏立项、首演、申报展演等等环节都遇到过挫折，但如今看来淌过沼泽后总是阳光绿洲。因为院团事务繁重等因素，也许这个戏再呈现在舞台上的机会不多了，所以将我们第一版的录像发布出来，供大家茶余谈笑。  主创： 总导演：蔡少波 编剧、导演、主演：王裕仁 副导演、主演：邓方圆 主演：李玲琳 主演：王耀超 作曲：董斌杰 形象、服装设计：陈兰馨 灯光设计：仰大章 司鼓：周元新 领腔：张蓉  剧情简介： 	某年某时，离恨天内孽债司中的警幻仙姑要审视、发判三个魂魄。分别为“王魁”、“申桂升”、“姚安”。三人生前皆负心薄幸，荼毒世间女儿。警幻审其罪行，王魁自觉奈世情所迫、昧心无奈。申桂升自觉博爱众女，不曾负心。姚安视女子为玩物。警幻揭露他三人生前情事（即“焚香记·入赘、情探；玉蜻蜓·上游庵、佛堂托孤；双魂报·杀妻洞房”三出传统戏片段），三男亦是互看前因后，似有转念，却在岔路选择处仍然选择了执迷不悟、怙恶不改。 	警幻叹道，这天下多少葆童心、禀真情的女儿深情与性命断送在这等人面兽心之徒。何日天女儿才能挣脱桎梏、冲破藩篱？何日天下女儿才能真心换得真心？警幻遂将三人同罪并罚，魂飞魄散。 	古有负心薄幸，今之渣男海王。岂不为“戏上有而世上有”？情之何起？情之何由？情之何辜？正待同君共为一审。,59060,2508,1802,3107,1920,2026-04-04 18:56:39
四川,川剧,BV1fiDAYkEd6,【川剧】川青赛《姚安杀妻》邓方园,-,40617,1441,269,1641,238,2026-04-04 18:56:50
四川,川剧,BV11f421v74w,青春实验川剧《离恨天·审》初版，《审渣男》这次不是片花了！！,自《离恨天·审》问世已经一年啦，这个戏承载了我们太多的成长与收获，我们参加了“2023中国小剧场戏曲展演”、“第十届当代小剧场戏曲艺术节”，小可也因此戏忝获“第三十二届上海白玉兰戏剧表演艺术奖‘新人配角提名奖’”，回顾此戏立项、首演、申报展演等等环节都遇到过挫折，但如今看来淌过沼泽后总是阳光绿洲。因为院团事务繁重等因素，也许这个戏再呈现在舞台上的机会不多了，所以将我们第一版的录像发布出来，供大家茶余谈笑。  主创： 总导演：蔡少波 编剧、导演、主演：王裕仁 副导演、主演：邓方圆 主演：李玲琳 主演：王耀超 作曲：董斌杰 形象、服装设计：陈兰馨 灯光设计：仰大章 司鼓：周元新 领腔：张蓉  剧情简介： 	某年某时，离恨天内孽债司中的警幻仙姑要审视、发判三个魂魄。分别为“王魁”、“申桂升”、“姚安”。三人生前皆负心薄幸，荼毒世间女儿。警幻审其罪行，王魁自觉奈世情所迫、昧心无奈。申桂升自觉博爱众女，不曾负心。姚安视女子为玩物。警幻揭露他三人生前情事（即“焚香记·入赘、情探；玉蜻蜓·上游庵、佛堂托孤；双魂报·杀妻洞房”三出传统戏片段），三男亦是互看前因后，似有转念，却在岔路选择处仍然选择了执迷不悟、怙恶不改。 	警幻叹道，这天下多少葆童心、禀真情的女儿深情与性命断送在这等人面兽心之徒。何日天女儿才能挣脱桎梏、冲破藩篱？何日天下女儿才能真心换得真心？警幻遂将三人同罪并罚，魂飞魄散。 	古有负心薄幸，今之渣男海王。岂不为“戏上有而世上有”？情之何起？情之何由？情之何辜？正待同君共为一审。,59060,2508,1802,3107,1920,2026-04-04 18:57:17
四川,川剧,BV1fiDAYkEd6,【川剧】川青赛《姚安杀妻》邓方园,-,40617,1441,269,1641,238,2026-04-04 18:57:36
四川,川剧,BV1Ps411i7yr,【川剧】白蛇传（四川省川剧院）,网盘 有同学点了川剧，但我手头的川剧资源非常少……白蛇传是少数我看过的川剧之一，不过也没看全，最大的印象就是川剧的打戏很精彩，以及川剧的小青是男变女……唔其他看点还是同学们自己体验吧。,218291,5668,1625,7985,7383,2026-04-04 18:57:47
四川,川剧,BV16w411X7iw,【川剧】戏曲届的一股泥石流,-,153707,5111,378,1461,204,2026-04-04 18:58:06
四川,川剧,BV1wf4y1F7Tq,大四川出战 【真·川剧】版《神女劈观》,多剧种翻唱神女，却无我大川剧，因此特请王裕仁小哥哥翻唱 小哥哥B站号 @半孺斋主    PS：本来准备投合作的，投的时候发现我的号没有那个功能，各位可以多去关注小哥哥哦。,149532,21793,11659,4445,324,2026-04-04 18:58:24
浙江,越剧,BV1enyUBuE6X,4K高清｜陈丽君&李云霄｜越剧《我的大观园》,,435060,10914,2580,27020,1112,2026-04-04 18:58:42
浙江,越剧,BV1Kq4y1L7eq,高清越剧《梁山伯与祝英台》1985年电视剧 傅全香 范瑞娟 张桂凤 金艳芳,不加念白字幕了，大家应该都能听懂吧,173239,1027,145,2498,327,2026-04-04 18:58:56
